idtransaccion,idcliente,horatransaccion,monto,canal,geolocalizacion,dispositivo_confianza,monto_promedio,ataque,estatus
100000,1,2026-03-23 12:02:01,14.32,APP,CDMX,False,18.65,0,APROBADA
100001,7,2026-03-23 20:44:34,118.57,SUCURSAL,CDMX,True,91.7,0,APROBADA
100002,1,2026-03-30 15:10:44,25.49,SUCURSAL,CDMX,False,18.65,0,APROBADA
100003,8,2026-03-04 02:24:06,108.91,ATM,OTRA,True,160.64,0,APROBADA
100004,9,2026-03-18 19:59:24,214.22,APP,CDMX,True,210.6,0,APROBADA
100005,8,2026-03-19 06:45:04,193.67,APP,CDMX,True,160.64,0,APROBADA
100006,7,2026-03-28 03:24:17,92.21,SUCURSAL,CDMX,True,91.7,0,APROBADA
100007,7,2026-03-22 08:44:59,113.75,APP,CDMX,True,91.7,0,APROBADA
100008,7,2026-03-15 12:17:59,116.56,WEB,CDMX,True,91.7,0,APROBADA
100009,7,2026-03-27 01:51:20,126.57,SUCURSAL,CDMX,True,91.7,0,APROBADA
100010,8,2026-03-07 20:31:25,172.05,SUCURSAL,CDMX,True,160.64,0,APROBADA
100011,150,2026-03-09 04:57:37,117.45,SUCURSAL,CDMX,True,167.65,0,APROBADA
100012,9,2026-03-03 18:55:07,190.66,WEB,CDMX,True,210.6,0,APROBADA
100013,1,2026-03-24 23:42:32,86.32,WEB,GDL,True,18.65,1,NO_APROBADA
100014,150,2026-03-25 02:49:41,145.84,ATM,CDMX,True,167.65,0,APROBADA
100015,8,2026-03-17 05:32:58,150.69,APP,MTY,True,160.64,0,APROBADA
100016,7,2026-03-05 11:48:10,76.71,APP,CDMX,True,91.7,0,APROBADA
100017,8,2026-03-29 09:15:03,148.74,WEB,GDL,True,160.64,0,APROBADA
100018,1,2026-03-30 13:49:08,15.98,  web  ,CDMX,False,18.65,0,APROBADA
100019,150,2026-03-28 04:13:59,165.45,WEB,CDMX,True,167.65,0,APROBADA
100020,8,2026-03-15 16:28:07,157.95,WEB,CDMX,True,160.64,0,APROBADA
100021,7,2026-03-19 07:00:04,121.58,APP,CDMX,True,91.7,0,APROBADA
100022,1,2026-03-23 10:17:42,25.23,SUCURSAL,CDMX,False,18.65,0,APROBADA
100023,150,2026-03-19 05:15:50,164.31,SUCURSAL,GDL,True,167.65,0,APROBADA
100024,8,2026-03-14 13:29:55,113.86,APP,CDMX,True,160.64,0,APROBADA
100025,9,2026-03-24 23:51:55,193.83,APP,CDMX,True,210.6,0,APROBADA
100026,9,2026-03-06 22:29:15,206.04,APP,CDMX,True,210.6,0,APROBADA
100027,1,2026-03-29 05:26:56,71.8,WEB,GDL,False,18.65,1,NO_APROBADA
100028,7,2026-03-28 12:57:03,85.91,WEB,CDMX,True,91.7,0,APROBADA
100029,9,2026-03-10 00:44:46,256.25,SUCURSAL,CDMX,True,210.6,0,APROBADA
100030,150,2026-03-24 22:47:20,187.74,APP,CDMX,True,167.65,0,APROBADA
100031,150,2026-03-06 22:32:05,182.56,WEB,CDMX,True,167.65,0,APROBADA
100032,9,2026-03-04 03:15:37,210.04,APP,CDMX,True,210.6,0,APROBADA
100033,150,2026-03-11 02:13:42,165.45,ATM,CDMX,True,167.65,0,APROBADA
100034,8,2026-03-15 10:59:48,155.67,APP,CDMX,True,160.64,0,APROBADA
100035,1,2026-03-09 13:13:32,14.83,ATM,CDMX,False,18.65,0,APROBADA
100036,7,2026-03-12 09:10:28,109.24,ATM,CDMX,True,91.7,0,APROBADA
100037,1,2026-03-13 22:22:26,71.22,WEB,GDL,True,18.65,1,NO_APROBADA
100038,150,2026-03-05 02:18:38,162.08,WEB,CDMX,True,167.65,0,APROBADA
100039,8,2026-03-17 15:16:57,129.9,APP,CDMX,True,160.64,0,APROBADA
100040,1,2026-03-16 15:08:40,22.47,ATM,CDMX,False,18.65,0,APROBADA
100041,150,2026-03-01 23:04:56,157.43,WEB,CDMX,True,167.65,0,APROBADA
100042,7,2026-03-14 04:02:19,82.6,ATM,GDL,True,91.7,0,APROBADA
100043,7,2026-03-22 03:22:49,125.79,SUCURSAL,OTRA,True,91.7,0,APROBADA
100044,7,2026-03-26 05:56:26,116.94,APP,CDMX,True,91.7,0,APROBADA
100045,9,2026-03-26 21:17:10,196.48,APP,CDMX,False,210.6,0,APROBADA
100046,7,2026-03-27 14:22:19,93.91,WEB,CDMX,True,91.7,0,APROBADA
100047,8,2026-03-28 02:49:17,193.3,ATM,CDMX,True,160.64,0,APROBADA
100048,150,2026-03-11 22:07:56,128.89,ATM,CDMX,True,167.65,0,APROBADA
100049,1,2026-03-23 12:22:46,15.39,ATM,CDMX,False,18.65,0,APROBADA
100050,150,2026-03-07 02:02:45,153.46,SUCURSAL,CDMX,True,167.65,0,APROBADA
100051,7,2026-03-12 13:04:42,77.48,ATM,CDMX,True,91.7,0,APROBADA
100052,8,2026-03-17 09:42:26,116.46,ATM,CDMX,True,160.64,0,APROBADA
100053,9,2026-03-22 00:43:47,205.75,WEB,CDMX,True,210.6,0,APROBADA
100054,1,2026-03-16 11:13:27,16.56,ATM,CDMX,False,18.65,0,APROBADA
100055,9,2026-03-26 20:42:05,180.22,ATM,CDMX,True,210.6,0,APROBADA
100056,7,2026-03-22 09:14:51,129.04,WEB,CDMX,False,91.7,0,APROBADA
100057,150,2026-03-28 23:29:26,140.97,WEB,CDMX,True,167.65,0,APROBADA
100058,7,2026-03-21 22:00:57,118.25,APP,CDMX,True,91.7,0,APROBADA
100059,150,2026-03-15 22:35:15,165.08,APP,CDMX,True,167.65,0,APROBADA
100060,150,2026-03-20 03:48:57,150.43,SUCURSAL,CDMX,True,167.65,0,APROBADA
100061,150,2026-03-15 00:47:55,180.59,SUCURSAL,CDMX,True,167.65,0,APROBADA
100062,8,2026-03-25 16:31:40,130.72,WEB,CDMX,True,160.64,0,APROBADA
100063,8,2026-03-11 10:57:34,167.46,APP,CDMX,True,160.64,0,APROBADA
100064,7,2026-03-03 13:26:21,95.21,SUCURSAL,CDMX,True,91.7,0,APROBADA
100065,150,2026-03-23 22:54:56,131.88,SUCURSAL,CDMX,True,167.65,0,APROBADA
100066,9,2026-03-28 00:34:47,198.28,WEB,CDMX,True,210.6,0,APROBADA
100067,9,2026-03-11 00:46:10,248.83,SUCURSAL,OTRA,True,210.6,0,APROBADA
100068,150,2026-03-19 22:05:41,109.53,SUCURSAL,CDMX,True,167.65,0,APROBADA
100069,9,2026-03-11 21:29:20,230.24,ATM,CDMX,True,210.6,0,APROBADA
100070,9,2026-03-09 19:30:01,148.23,APP,MTY,True,210.6,0,APROBADA
100071,1,2026-03-30 09:15:12,19.68,APP,CDMX,False,18.65,0,APROBADA
100072,1,2026-03-23 10:29:44,21.29,ATM,CDMX,False,18.65,0,APROBADA
100073,1,2026-03-30 15:10:19,20.91,APP,CDMX,False,18.65,0,APROBADA
100074,9,2026-03-13 21:04:37,242.04,WEB,CDMX,True,210.6,0,APROBADA
100075,150,2026-03-26 23:50:36,138.35,APP,CDMX,True,167.65,0,APROBADA
100076,150,2026-03-21 03:00:54,137.6,SUCURSAL,GDL,True,167.65,0,APROBADA
100077,9,2026-03-23 20:27:11,232.96,ATM,CDMX,True,210.6,0,APROBADA
100078,9,2026-03-14 03:17:20,194.1,WEB,GDL,True,210.6,0,APROBADA
100079,9,2026-03-19 03:42:24,161.82,ATM,CDMX,True,210.6,0,APROBADA
100080,7,2026-03-12 08:21:17,81.46,ATM,CDMX,True,91.7,0,APROBADA
100081,7,2026-03-24 13:31:35,99.45,WEB,CDMX,True,91.7,0,APROBADA
100082,1,2026-03-09 11:14:25,19.68,WEB,CDMX,False,18.65,0,APROBADA
100083,150,2026-03-12 04:47:35,132.6,ATM,CDMX,True,167.65,0,APROBADA
100084,7,2026-03-04 23:12:20,111.41,APP,CDMX,True,91.7,0,APROBADA
100085,7,2026-03-07 23:30:17,91.65,ATM,GDL,True,91.7,0,APROBADA
100086,8,2026-03-01 22:34:08,131.29,ATM,CDMX,True,160.64,0,APROBADA
100087,7,2026-03-21 15:06:55,96.43,APP,CDMX,True,91.7,0,APROBADA
100088,7,2026-03-02 08:55:30,104.62,APP,MTY,True,91.7,0,APROBADA
100089,1,2026-03-09 10:51:36,20.7,ATM,CDMX,False,18.65,0,APROBADA
100090,9,2026-03-20 03:50:39,249.02,WEB,CDMX,True,210.6,0,APROBADA
100091,8,2026-03-28 18:27:19,190.28,APP,CDMX,True,160.64,0,APROBADA
100092,7,2026-03-21 06:16:42,74.5,APP,CDMX,True,91.7,0,APROBADA
100093,1,2026-03-16 12:44:38,22.48,SUCURSAL,CDMX,False,18.65,0,APROBADA
100094,9,2026-03-03 21:59:16,217.72,WEB,CDMX,True,210.6,0,APROBADA
100095,8,2026-03-27 04:04:03,179.18,WEB,CDMX,True,160.64,0,APROBADA
100096,8,2026-03-15 03:29:44,150.04,ATM,CDMX,True,160.64,0,APROBADA
100097,9,2026-03-15 19:38:02,143.1,SUCURSAL,CDMX,True,210.6,0,APROBADA
100098,7,2026-03-22 18:37:01,80.51,ATM,CDMX,True,91.7,0,APROBADA
100099,150,2026-03-21 05:58:17,149.26,WEB,MTY,True,167.65,0,APROBADA
101209,1,2026-03-16 11:26:21,17.96,ATM,CDMX,False,18.65,0,APROBADA
100101,9,2026-03-10 00:52:48,178.79,APP,CDMX,True,210.6,0,APROBADA
100102,9,2026-03-28 02:52:00,183.41,SUCURSAL,CDMX,True,210.6,0,APROBADA
100103,9,2026-03-21 01:48:03,174.56,WEB,CDMX,True,210.6,0,APROBADA
100104,9,2026-03-04 18:40:38,141.64,WEB,CDMX,True,210.6,0,APROBADA
100105,9,2026-03-03 21:53:58,239.86,APP,CDMX,True,210.6,0,APROBADA
100106,9,2026-03-30 22:32:45,196.67,ATM,CDMX,True,210.6,0,APROBADA
100107,9,2026-03-18 20:24:12,242.53,WEB,MTY,True,210.6,0,APROBADA
100108,8,2026-03-30 16:17:52,157.82,APP,  cdmx  ,True,160.64,0,APROBADA
100109,9,2026-03-28 20:28:34,205.21,SUCURSAL,CDMX,True,210.6,0,APROBADA
100110,9,2026-03-30 23:55:12,233.07,WEB,CDMX,True,210.6,0,APROBADA
100111,1,2026-03-16 14:30:45,23.85,SUCURSAL,CDMX,False,18.65,0,APROBADA
100112,7,2026-03-16 01:08:32,124.63,ATM,MTY,True,91.7,0,APROBADA
100113,1,2026-03-30 10:26:55,17.18,WEB,CDMX,False,18.65,0,APROBADA
100114,150,2026-03-23 04:41:05,133.5,ATM,OTRA,True,167.65,0,APROBADA
100115,9,2026-03-28 02:02:39,174.49,APP,CDMX,True,210.6,0,APROBADA
100116,7,2026-03-24 02:27:06,124.21,APP,CDMX,True,91.7,0,APROBADA
100117,1,2026-03-16 15:03:18,20.37,ATM,CDMX,False,18.65,0,APROBADA
100118,150,2026-03-22 00:10:11,166.48,APP,CDMX,True,167.65,0,APROBADA
100119,9,2026-03-30 03:09:14,220.02,SUCURSAL,CDMX,True,210.6,0,APROBADA
100120,9,2026-03-29 22:43:34,258.52,WEB,CDMX,True,210.6,0,APROBADA
100121,8,2026-03-21 13:44:16,181.8,SUCURSAL,GDL,True,160.64,0,APROBADA
100122,1,2026-03-09 12:36:22,23.96,ATM,MTY,True,18.65,0,APROBADA
100123,9,2026-03-09 18:36:55,248.5,APP,OTRA,True,210.6,0,APROBADA
100124,8,2026-03-25 07:38:51,127.56,ATM,CDMX,True,160.64,0,APROBADA
100125,7,2026-03-21 03:57:40,104.77,APP,CDMX,True,91.7,0,APROBADA
100126,7,2026-03-03 09:20:47,102.36,SUCURSAL,CDMX,True,91.7,0,APROBADA
100127,8,2026-03-17 16:58:17,148.37,WEB,CDMX,True,160.64,0,APROBADA
100128,8,2026-03-24 10:51:07,125.31,SUCURSAL,GDL,True,160.64,0,APROBADA
100129,9,2026-03-28 02:23:05,194.57,SUCURSAL,CDMX,True,210.6,0,APROBADA
100130,8,2026-03-19 12:52:40,107.25,ATM,CDMX,True,160.64,0,APROBADA
100131,150,2026-03-11 01:41:04,115.5,SUCURSAL,MTY,True,167.65,0,APROBADA
100132,1,2026-03-02 11:31:07,18.66,APP,CDMX,False,18.65,0,APROBADA
100133,8,2026-03-22 23:44:34,184.69,SUCURSAL,CDMX,True,160.64,0,APROBADA
100134,1,2026-03-30 12:39:26,19.32,ATM,CDMX,False,18.65,0,APROBADA
100135,7,2026-03-28 11:06:43,91.52,ATM,CDMX,True,91.7,0,APROBADA
100136,9,2026-03-09 21:07:54,216.74,SUCURSAL,CDMX,True,210.6,0,APROBADA
100137,1,2026-03-02 15:21:15,23.96,WEB,CDMX,False,18.65,0,APROBADA
100138,150,2026-03-07 01:52:55,186.05,WEB,CDMX,True,167.65,0,APROBADA
100139,1,2026-03-09 15:09:08,24.4,ATM,CDMX,False,18.65,0,APROBADA
100140,7,2026-03-01 11:50:50,85.92,WEB,CDMX,False,91.7,0,APROBADA
100141,7,2026-03-24 13:33:07,100.79,APP,CDMX,True,91.7,0,APROBADA
100142,1,2026-03-16 13:14:39,21.91,APP,CDMX,False,18.65,0,APROBADA
100143,8,2026-03-15 20:01:03,149.12,SUCURSAL,MTY,True,160.64,0,APROBADA
100144,9,2026-03-03 19:20:38,215.97,WEB,CDMX,True,210.6,0,APROBADA
100145,150,2026-03-23 03:24:38,113.93,ATM,CDMX,True,167.65,0,APROBADA
100146,1,2026-03-30 14:41:56,18.97,WEB,CDMX,False,18.65,0,APROBADA
100147,9,2026-03-13 00:46:06,184.92,ATM,CDMX,True,210.6,0,APROBADA
100148,7,2026-03-22 15:04:05,114.33,APP,CDMX,True,91.7,0,APROBADA
100149,7,2026-03-18 01:37:35,122.42,ATM,CDMX,True,91.7,0,APROBADA
100150,9,2026-03-28 18:18:38,165.53,ATM,CDMX,True,210.6,0,APROBADA
100151,9,2026-03-08 19:22:54,167.14,ATM,CDMX,True,210.6,0,APROBADA
100152,9,2026-03-28 02:49:52,223.22,APP,CDMX,True,210.6,0,APROBADA
100153,1,2026-03-09 11:44:48,24.44,ATM,MTY,True,18.65,0,APROBADA
100154,150,2026-03-22 04:04:09,138.86,APP,CDMX,True,167.65,0,APROBADA
100155,9,2026-03-11 20:23:19,150.19,ATM,CDMX,True,210.6,0,APROBADA
100156,1,2026-03-09 10:48:39,21.94,APP,CDMX,False,18.65,0,APROBADA
100157,9,2026-03-20 01:26:17,191.59,WEB,CDMX,True,210.6,0,APROBADA
100158,8,2026-03-22 21:37:31,158.94,ATM,CDMX,SI,160.64,0,APROBADA
100159,1,2026-03-09 11:13:49,15.44,WEB,CDMX,False,18.65,0,APROBADA
100160,9,2026-03-24 00:11:08,207.05,SUCURSAL,CDMX,True,210.6,0,APROBADA
100161,8,2026-03-03 12:55:47,112.01,APP,CDMX,True,160.64,0,APROBADA
100162,8,2026-03-19 13:36:25,191.96,SUCURSAL,CDMX,True,160.64,0,APROBADA
100163,7,2026-03-26 19:29:53,84.6,ATM,CDMX,True,91.7,0,APROBADA
100164,150,2026-03-13 23:25:55,175.12,ATM,CDMX,True,167.65,0,APROBADA
100165,1,2026-03-02 03:55:03,47.29,WEB,MTY,False,18.65,1,NO_APROBADA
100166,7,2026-03-08 03:09:16,115.55,WEB,CDMX,True,91.7,0,APROBADA
100167,1,2026-03-09 15:40:31,19.39,SUCURSAL,CDMX,False,18.65,0,APROBADA
100168,150,2026-03-21 03:55:40,144.8,ATM,CDMX,True,167.65,0,APROBADA
100169,8,2026-03-26 08:37:03,145.67,ATM,CDMX,True,160.64,0,APROBADA
100170,1,2026-03-16 15:18:04,19.55,APP,CDMX,False,18.65,0,APROBADA
100171,150,2026-03-26 22:28:58,118.58,WEB,CDMX,True,167.65,0,APROBADA
100172,1,2026-03-20 02:04:15,47.57,APP,MTY,False,18.65,1,NO_APROBADA
100173,7,2026-03-23 14:28:33,93.24,WEB,CDMX,True,91.7,0,APROBADA
100174,8,2026-03-22 19:03:50,166.05,ATM,CDMX,True,160.64,0,APROBADA
100175,8,2026-03-09 23:54:42,117.73,WEB,CDMX,True,160.64,0,APROBADA
100176,8,2026-03-10 20:44:42,112.62,SUCURSAL,CDMX,True,160.64,0,APROBADA
100177,150,2026-03-13 03:52:08,137.56,APP,CDMX,True,167.65,0,APROBADA
100178,8,2026-03-10 05:13:21,118.95,  sucursal  ,CDMX,True,160.64,0,APROBADA
100179,8,2026-03-28 03:32:49,160.62,APP,CDMX,True,160.64,0,APROBADA
